"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862547693.9754","18944689560.8047","19977749349.7015","19886671931.1579","22064817056.6227","22419234996.2899","22994694610.7699","22563345431.1333","24704483720.1745","25006090363.5738","26411395706.211","24964187761.2374","21475759890.8132","22189974985.0404","24318427688.6793","23324238301.0024","24644707678.65","25303474528.2639","27093401257.1048","28394327386.3336","28626917210.3473","30697772282.9315","31352963381.7276","32569786438.2902","34134214252.2275","35274984694.6173","36747144753.5538","38133394722.9877","39054795487.2786","40162616836.6192","42420662839.631","43899119580.3759","46288410618.6708","48469317656.257","50354835398.0088","52933646453.3991","55327792521.4287","57811953139.9129","60804893490.034","63644577095.5839","67013472133.5709","70415938962.4639","73115069176.4493","76580407159.0129","80592862795.068","85860367933.3453","91588890098.6085","98053782905.801","103950531260.731","109194965287.045","115279077465.226","122731154081.819","130735015706.213","138596904007.993","146997344629.708","156629551254.533","167771360258.571","179992118771.131","194146236466.197","209974367461.307","214962354031.804",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","32356648110.5461","33942176240.3789","34734578608.1275","35926080911.8606","37146289995.9078","38143088675.0465","39747998038.6554","42154546080.5394","46768231340.096","45229611683.7388","41105857427.2347","37634321769.0717","34897407869.4036","34380851287.7681","35005899014.0377","36005335303.0191","37855619063.4858","32482841154.8313","33874822442.0955","31069642496.7662","32555406323.5435","33798124235.1857","35810138200.2256","37655019586.0687","40080703028.4043","42947892705.1545","45869280338.7161","48876966228.4417","51851436378.6577","50101534229.7147","50381825504.2642","51568094264.4734","51751979375.9177","51920571507.3287","52899515523.1699","55010127749.7693","57111753665.4351","59112236490.8388","60940251461.1954","63191572277.6213","60566782151.677",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624228989.3617","7218871808.51064","6673398138.29787","7098919148.93617","7454123936.17021","7099436702.12766","7183422606.38298","7930427393.61702","8485556648.93617","8516444680.85106","8894404255.31915","9893245744.68085","10555103723.4043","11913546276.5957","11883762234.0426","12350793085.1064","12858411436.1702","13256122074.4681","13891090691.4894","14488407446.8085","15256303191.4894","15636329787.234","16159920212.766","17177420212.766","18376569148.9362","19620478723.4043","20889335106.383","22621888297.8723","24034627659.5745","24645079787.234","25713271276.5957","26223297872.3404","27200930851.0638","28674361702.1277","29921808510.6383","30665478723.4043","31756595744.6809","33119255319.1489","33689228723.4043","34359547872.3404","32361648936.1702",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1942547494.47697","2149760928.32098","2374453336.26629","2624342116.16787","2899939167.10327","3202275123.06532","3492783239.37552","3828024551.81008","4150411728.72773","4523187705.80538","4267643453.32658","4337057047.11872","4185375592.55912","4502106771.06588","3747813489.44208","3193019924.64301","3358583913.91925","3666059894.00368","4185889594.97136","5280051656.78247","5623005897.4858","5104204595.71785","5446130042.84619","5642030165.28425","6441570645.44466","6752645694.08212","6873990752.56306","7079146336.34026","7242653921.5923","7729891137.121","7606502820.4576","7288415243.11491","7009590943.70604","7031166905.6352","7252572418.59347","7570144584.98583","7889871944.77221","8432358980.27302","8052599546.05702","9034816848.13421","9409692544.77027","9656711991.56355","9917894277.33865","9792479896.28583","9878922051.45074","10214337148.4409","10471417094.6489","10622910634.3785","10376086537.0885","9942801338.99633","10095760000","10157685792.5136","10471221745.1457","10190699858.554","10298142085.3126","10321877049.9511","10470928720.8909","10797162391.2307","11123884435.3286","11259359315.7961","9426590276.79686",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758325423.17903","3332057043.39681","6296177225.09818","8461405754.34878","9781384771.5674","10720397681.9001","11310019583.9402","11807660368.5842","12433466463.9814","12930805086.5843","13719579896.7392","14921313134.8433","15729153560.7731","16650743291.5849","17556851230.7796","17029363372.8317","17176781336.7644","17341594485.6047","17199074936.9112","17603228545.3329","17806343590.1312","18356410773.0628","18934602269.0509","19535100848.8297","20265727508.4724","20839450781.6725","19937655682.3208",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31609653425.5172","31230338984.7805","28232226006.2732","26086576309.6993","23034445864.7262","20638863381.5805","21216752516.0832","23635463449.7575","25620840351.69","26491948709.2598","28028482645.7397","29352914216.1911","30833847251.5793","33005534486.7779","36784583396.0769","40242334795.7495","44266566187.7427","48073493773.2612","52976989868.7029","53082941363.8271","57222490768.7143","60300321142.6581","61317669289.2363","61932974220.8466","63002175707.5323","60589462935.5585","59058702608.9201","60554177331.8333","62461148027.2823","63335604099.6643","62765583662.6109",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","99371065.64489","104232573.651739","109332310.939077","114751294.984554","120488721.929425","126429467.717924","132461221.799886","138969204.768898","149207379.400226","156826467.40822","164366203.074533","170874186.043545","188334629.555979","198414099.503944","225319021.975449","233414338.870494","233334929.110331","248493752.784638","268176463.793518","288335346.270968","327078049.161274","330786364.650477","330430073.239486","323348362.096478","329725002.055377","333063513.580144","348182788.420075","385561269.694498","423298894.205911","478366783.396293","533108153.970419","594223866.902282","665877300.509697","707666334.004541","708787383.06511","713355446.513795","723550100.583897","749197450.230957","777221292.744486","845452391.514787","955526751.357363","1000261006.13215","1047597451.87024","1145376096.77248","1200238950.52685","1223534423.65169","1282575834.75399","1289130027.19871","1334118125.27383","1337019313.28602","1377177082.6384","1403630792.8557","1437547882.31742","1456245941.08082","1515036470.9868","1554937834.86391","1554440090.60123","1582621100.06303","1628652664.6083","1657330387.24262","1424667367.43448",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1481304218.12833","1550629255.5367","1619942383.25924","1637275766.76009","1819177104.44709","1905769934.61886","2179507797.95496","2468838324.39249","2520813868.06394","2607439774.18295","2772028995.80922","2867317492.5401","2919293036.21157","2962605989.271","2988593761.1068","3101207439.06147","3378410338.6424","3577649922.71622","3629625466.38768","3707588781.8948","4002116862.69951","4097405359.43041","3880840594.13282","3958803909.63994","3977861608.9862","3898165775.3566","4158043493.71375","4313970124.72799","4488954455.0885","4508878413.4958","4509744672.55711","4350353064.09827","4347754240.85838","4478559345.56286","4505413386.03439","4703613203.76411","4825929509.40246","5047922307.49988","5244791282.24905","5422204058.24868","5927399291.27176","6355501884.13564","6261580874.85596","6475145031.83261","6625450451.11324","6736374147.65278","7109829729.28519","7347663466.78588","7210559312.22666","6804842936.4902","6634526000","6386212655.14811","6047404972.19919","6030489863.71561","5807297357.63173","5852334673.38245","5813872760.96263","6023836115.15353","5997764874.11684","6025347991.57898","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","3676733525.16923","3753551369.2841","3962958916.9397","4232346033.82043","4399802890.2598","4615984651.41564","4946977969.66201","5259489427.4987","5708094584.71586","5963480292.1953","6275431693.65595","6593177913.02628","7118488388.30091","7527029934.90237","7748292084.3626","8314771092.1823","8698461815.50204","9130881110.97966","9318310211.87561","9330735623.51647","9202738913.24008","9228103504.2748","8864632406.20013","8506313462.4131","8489243333.24944","8346930749.42575","8132091222.15746","8332423431.09103","8574855687.27943","8899853869.1901","9312432040.83307","9802873832.58795","9964277849.55144","10389682135.6253","10874596698.1901","11383339974.3351","11879806482.0881","12468356893.4749","13095434492.3138","13151337537.1861","13481147773.312","13708143466.1099","14048868261.2955","14429780945.3505","15031978173.6477","15696607282.7808","16449574973.6516","17200396536.5835","18257962435.1666","18870882463.9721","19649631308.1648","20672216286.1673","21731104173.0281","23207952496.0812","24475238873.1307","25664047037.8809","26758341694.0299","27880909339.5453","29058494021.0033","29702635296.7527","27378912014.667",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","246661854226.253","272008608204.741","286196738836.702","288700023271.673","298762900195.275","307885589183.513","320663950240.226","336425435318.519","374869719821.502","411366386806.025","447443002845.25","497982078591.115","558002873764.336","636004374891.996","693512655666.751","729638256284.47","801072834269.764","837972796917.598","865053643933.736","923585638585.237","1007733158115.63","963459840853.251","969050273738.545","936007660747.578","985327244285.169","1063619984888.47","1148585088075.65","1189929895357.4","1188708161986.97","1227691357100.6","1189604001251.3","1207590067132.79","1201951669565.71","1258024746134.61","1325134726637.11","1383662367610.28","1414207205945.88","1462217362494.32","1467161088733.51","1474026486641.65","1538706023647.11","1560092443326.51","1607729271032.29","1626070712767.17","1719731810823.1","1774799882787.63","1845117253979.08","1957113483856.3","2056812669849.93","2054224952705.78","2208871646202.82","2296661602091.86","2340783923772.17","2411120883015.01","2423271865109.14","2337348378410.64","2260778787687.59","2290685930668.69","2331544134221.4","2364445788869.69","2268471792918.29",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","2730324074.84173","2678447917.41974","2795233898.26917","2897042068.54516","3038329052.16921","3278144611.44198","3421500000","3356500000","3192000000","3208000000","3323500000","3360000000","3531500000","3623000000","3750000000","3885000000","3756500000","3610000000","3404500000","3431500000","3500500000","3571000000","3713000000","3889000000","4034000000","4047500000","4227500000","4127500000","4160000000","4250500000","4310500000","4481000000","4745500000","4850000000","4884000000","4636000000","4530000000","4499500000","4479000000","4416000000","4410500000","4518500000","4630500000","4652500000","4625500000","4621053250","3807500000",
