UN Code	Name	1990	1995	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
894	Zambia	3288382000	3815193151	4421364969	5306101478	6582444635	8589051730	11402621711	15342985495	20457371862	25571758229	30686144596	35800530963	40914917331	50282708522	59650499713	69018290904	78386082095	87753873286	101064919663	114375966039	127687012415	140998058791	154309105167
156	China	354640000000	483490125881	628076753055	806301005989	1021354105799	1270421200609	1553334857779	1860009115089	2350561914763	2841114714437	3331667514111	3822220313785	4312773113459	5336538449294	6360303785129	7384069120964	8407834456799	9431599792634	11410791944679	13389984096723	15369176248768	17348368400813	19327560552858
344	China, Hong Kong Special Administrative Region	74783560000	101954412470	132443648620	170026110026	215374735090	267895951052	327554451096	392223390646	495667121550	599110852453	702554583357	805998314260	909442045163	1125325240568	1341208435973	1557091631378	1772974826782	1988858022187	2406213749274	2823569476360	3240925203447	3658280930533	4075636657620
408	Korea, Democratic People's Republic of	16752306653	22838864348	29668775008	38087642981	48246213573	60011520221	73375653824	87862178754	111034666149	134207153543	157379640938	180552128333	203724615727	252084729777	300444843827	348804957877	397165071926	445525185976	539017273322	632509360667	726001448013	819493535359	912985622704
418	Lao People's Democratic Republic	864521600	1178625246	1531090456	1965555594	2489800039	3096961902	3786633027	4534226416	5730068654	6925910892	8121753130	9317595368	10513437606	13009115606	15504793607	18000471608	20496149608	22991827609	27816591781	32641355953	37466120125	42290884297	47115648470
446	Macau                        	3300721000	4499960557	5845663570	7504440173	9505991838	11824120053	14457266482	17311558613	21877253197	26442947782	31008642366	35574336951	40140031536	49668465280	59196899024	68725332768	78253766513	87782200257	106203024471	124623848685	143044672899	161465497113	179886321328
496	Mongolia	3135449122	4274641018	5552962734	7128681991	9030013068	11232069248	13733370223	16444743816	20781827464	25118911112	29455994761	33793078409	38130162057	47181493332	56232824607	65284155882	74335487157	83386818432	100885285315	118383752198	135882219082	153380685965	170879152848
704	Viet Nam	6471740000	8823094934	11461621492	14713992986	18638445242	23183610706	28346433940	33942858647	42894838615	51846818582	60798798550	69750778518	78702758485	97385205684	116067652883	134750100082	153432547280	172114994479	208232795680	244350596882	280468398083	316586199285	352704000486
8	Albania	2101625000	1722216745	1816542314	2005530800	2313225837	2652599125	3176109849	3967529872	4823939290	5680348707	6536758125	7393167542	8249576960	9933931253	11618285546	13302639839	14986994131	16671348424	19677566906	22683785388	25690003870	28696222352	31702440833
31	Azerbaijan	9836858000	8061001161	8502501061	9387079853	10827276073	12415745400	14866087709	18570405263	22578911933	26587418604	30595925274	34604431944	38612938615	46496720926	54380503238	62264285549	70148067861	78031850172	92102744990	106173639809	120244534627	134315429446	148386324264
51	Armenia	4123771000	3379302905	3564386850	3935216679	4538970378	5204882578	6232105961	7785016179	9465447427	11145878674	12826309922	14506741169	16187172417	19492182295	22797192174	26102202053	29407211932	32712221811	38610969967	44509718124	50408466281	56307214438	62205962595
70	Bosnia and Herzegovina	13012055317	10662977245	11246987010	12417095206	14322166203	16423370750	19664648571	24564666944	29867062336	35169457728	40471853120	45774248512	51076643905	61505198586	71933753267	82362307948	92790862629	103219417311	121832196080	140444974849	159057753618	177670532387	196283311156
100	Bulgaria	20726300000	16984562384	17914804478	19778615606	22813114926	26160026290	31322907547	39127919769	47573859703	56019799636	64465739569	72911679503	81357619436	97968780980	114579942524	131191104068	147802265612	164413427155	194060860032	223708292909	253355725786	283003158663	312650591540
